Timestamp,Minute,Game Phase,Post,Post Size,Team,Notes,Highlight?,Status,Notes-old
5/2/2026 20:55:28,51,2nd Half,Atlanta is feeling it now.  everyone tryiing to get up toward the Montréal box.,79,,,yes,,
5/2/2026 20:57:00,53,2nd Half,Montréal long ball high into the box.  Amador reads it and clears.,66,,,,,
5/2/2026 20:57:19,53,2nd Half,Galarza beautiful ball up high to ELL,37,,,,,
5/2/2026 20:57:38,54,2nd Half,"Saba takes a shot, blocked from the 18",38,,,,,
5/2/2026 20:58:01,54,2nd Half,Muyumba slide to steal the ball.  beauty,40,,,,,
5/2/2026 20:58:30,54,2nd Half,"ELL gets the ball, tries to dribble through 3 different Montréal players.  He's bodied over.  Clean",99,,issues,,,
5/2/2026 21:00:13,56,2nd Half,"ELL and Saba inside the half.  ELL releases Saba for a breakaway.  He gets to the box, shoots, and shoots wide left.",116,,should have done better,,,
5/2/2026 21:00:17,56,2nd Half,"Galarza gets the ball in the defensive third, gets on his horse and bringsit to Montreal's final third to Miranchuk.",116,,he's had his moments tonight,,,
5/2/2026 21:01:47,58,2nd Half,Atlanta prepping 2 subs,23,,,,,
5/2/2026 21:02:36,59,2nd Half,Hoyos tries clearing under pressure - passes directly to a Montréal player.,75,,lucky how the play unfolded,yes,,
5/2/2026 21:02:44,59,2nd Half,"Montréal subs:
on: Loturi, Streit, Ríos
off: Piette, Escobar, Carmona",69,,,,,
5/2/2026 21:04:32,60,2nd Half,"Sanchez passes wide to Saba.  He brings it into the box.  Pass back to ELL who misses.  Slips to Miranchuk who shoots.  It was going in, but blocked.",149,,imagine if he scored,yes,,
5/2/2026 21:05:47,62,2nd Half,"Miranchuk great back pass to Tomás, gets it to Saba.",52,,,yes,,
5/2/2026 21:06:20,62,2nd Half,Sanchez steals the ball again.  he's having a great game.,57,,,yes,,
5/2/2026 21:07:17,63,2nd Half,"Atlanta sub:
on: Picault, Fortune
off: Latte Lath, Saba",55,,,,,
5/2/2026 21:07:47,64,2nd Half,Saba gets a huge cheer as he comes off,38,,,yes,,
5/2/2026 21:08:18,64,2nd Half,ELL getting high-fives along the sideline,41,,,yes,,
5/2/2026 21:09:11,65,2nd Half,Alexey has taken the forward position,37,,,,,
5/2/2026 21:10:15,66,2nd Half,Montréal get the ball outside the box.  Shot by the right wing.  Blocked by Mihaj.  Owusu shoots over the bar.,110,,Montreal still trying,,,
5/2/2026 21:11:09,67,2nd Half,Atlanta prepping 2 subs - both defensive,40,,,,,
5/2/2026 21:11:33,67,2nd Half,"Montréal sub:
on: Opoku
off: Jaime",34,,,,,
5/2/2026 21:12:14,68,2nd Half,Atlanta have not won 3 straight games in 5 years,48,,,yes,,
5/2/2026 21:12:58,69,2nd Half,"Fortune playing high, alongside Sanchez.  Alexey up top.  Picault wide left",75,,,,,
5/2/2026 21:15:03,71,2nd Half,"Atlanta subs:
on: Berrocal, Edwards
off: Gregersen, Galarza",59,,,,,
5/2/2026 21:16:30,72,2nd Half,Montréal in the box - Hoyos collects.  Pauses again before passing.  The Ref is counting him down.,98,,He'd see yellow 5 min later,yes,,
5/2/2026 21:16:55,73,2nd Half,Picault with a breakaway.  He gets to the arc and is taken down from behind.  No call.  Looked like a foul.,107,,,yes,,
5/2/2026 21:17:39,74,2nd Half,Picault stays down after the play.  He calls for a sub.,55,,,yes,,
5/2/2026 21:17:55,74,2nd Half,"Montréal sub:
on: Herbers
off: Longstaff",40,,,,,
5/2/2026 21:19:03,75,2nd Half,Picault must have felt something.  Atlanta is making a sub,58,,,,,
5/2/2026 21:20:02,76,2nd Half,Defensive clearance - Mihaj is taken out roughly.,49,,,,,
5/2/2026 21:19:25,75,2nd Half,"Atlanta sub:
on: Brennan
off: Picault",37,,,,,
5/2/2026 21:20:58,77,2nd Half,"Montréal long balls wide right, then into the box.  High head goes out for a goalkick",85,,,,,
5/2/2026 21:21:14,77,2nd Half,Hoyos sees 🟨 for taking too long on the kick.,46,,,,,
5/2/2026 21:21:52,78,2nd Half,There will be a lot of bruises in the locker room tonight.,58,,,yes,,
5/2/2026 21:23:23,79,2nd Half,Brennan with a great ball into the box finds Fortune.  But he scuffs it.,72,,Fortune with an off night.  looks tired,,,
5/2/2026 21:23:32,79,2nd Half,Alexey shot from the corner of the box.  Gillier blocks it.,57,,,,,
5/2/2026 21:24:41,81,2nd Half,Atlanta do not look like a team protecting a lead.  They want another.,70,,,yes,,
5/2/2026 21:25:49,82,2nd Half,Tomás takens down Opoku and sees 🟨.,36,,,,,
5/2/2026 21:25:59,82,2nd Half,34703 attendance,16,,,,,
5/2/2026 21:26:21,82,2nd Half,"Miranchuk long ball, a bit too far, for Edwards.",48,,,,,
5/2/2026 21:29:00,85,2nd Half,Montréal down the left.  Edwards fights him off.  The cross goes behind goal.,77,,,,,
